Text,Text_Cleansing,negative,neutral,positive
"waktu itu ke sini pesan nasi goreng dan kentang goreng , nasi goreng nya semua suka . kentang goreng nya enak banget , dan presentasi nya bagus . keluarga bilang kopi nya enak . hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu , tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya . harga nya cukup mahal , namun karena makanan nya enak semua jadi terbayarkan . tidak perlu pikir dua kali jika mau ke tempat ini lagi .",pesan nasi goreng kentang goreng nasi goreng nya suka kentang goreng nya enak banget presentasi nya bagus keluarga bilang kopi nya enak nya luas lihat pandang dusun bambu layan nya cepat be anya kali pesan harga nya mahal makan nya enak bayar pikir kali,0,0,1
"banyak sekali tempat makan sunda yang bertebaran di kota bandung , tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini . ibu imas yang berada di dekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan .",makan sunda be ebaran kota bandung jatuh hati warung makan imas alunalun kota bandung suguh rumah makan sunda karakter warung nasi zaman ambil hidang proses order jumpa warung makan,0,0,1
hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai .,hai tolong bantu input resi jne nomor resi pakai,0,1,0
"foods : menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara . dirilis : mixing green tea yakult , perfect ! satu-satunya kekurangan pizza hut adalah pinggiran nya ,",foods menu cheeseburger nya oke banget chicken sayap pizza ulang juara rilis mig green tea yakult perfect satusatunya kurang pizza ulang pinggir nya,0,0,1
dusun bambu ini tergolong baru di bandung . tempat nya yang dekat banget sama almamater saya . membuat saya gampang cari ini tempat . pemandangan nya bagus . banyak tempat makan yang enak-enak . beli nya nanti pakai voucher .,dusun bambu golong bandung nya banget almamater gampang cari pandang nya bagus makan enakenak beli nya pakai kupon,0,0,1
tidak memuaskan,muas,1,0,0
suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !,suruh kaca main nya dasar oneng bicara ala betawi kampung,1,0,0
"kafe ini menyajikan sensasi makan dalam gelap . cukup unik sih , tetapi lebih dari sekali , rasanya orang jarang datang lagi . hanya menarik untuk sekadar mencoba .",kafe saji sensasi makan gelap unik sih orang jarang tarik coba,1,0,0
"sesuai dengan nama nya mi awie , kedai makan ini menyediakan menu mi dengan olahan daging babi . selain mi masih ada pilihan lainnya seperti nasi goreng babi , capjay goreng , bakso , pangsit dan lainnya . kami mencoba menu mi babi casau special , rasanya . enak banget !",sesuai nama nya mi awie kedai makan sedia menu mi olah daging babi mi pilih sepe i nasi goreng babi capjay goreng bakso pangsit coba menu mi babi casau spesial enak banget,0,0,1
"mardani ali sera : kemenangan di sosial media , akan selalu kemenangan di dunia nyata .",mardani ali sera menang sosial media menang dunia nyata,0,1,0
"terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa kafe , sekaramg sudah jadi penginapan dan boutique hotel . untuk yang travel bareng anak-anak pasti suka menginap di sini . ada playground yang seru , swimming pool , high rope , flying fox kalau menginap dapat tiket gratis dan petik stroberi perlu pesan - karena suka ramai . menginap di sini banyak pilihan kamar . enak .",kafe sekaramg inap boutique hotel travel bareng anakanak suka inap playground seru swimming pool high rope flying fox inap tiket gratis petik stroberi pesan suka ramai inap pilih kamar enak,0,0,1
selamat pagi . wah kecewa berat masa indihome internet tidak kocek lagi . saya itu bayar mahal . jangan kecewakan kami sebagai pelanggan,selamat pagi kecewa berat indihome internet kocek bayar mahal kecewa langgan,1,0,0
. pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini . 4 humas naik buat kampung daun .,pokok nya afdal lembang bandung mampir humas kampung daun,0,0,1
"kfc bandung supermall fasilitas nya lengkap luas , agak jarang ditemukan dikfc lainnya . keramahtamaan karyawan nya juga sangat bagus",kentaki fried chicken bandung supermall fasilitas nya lengkap luas jarang temu dikfc keramahtamaan karyawan nya bagus,0,0,1
"restoran sapu lidi memilik keunikan tersendiri , serasa makan di tengah sawah , dikelilingin kolam ikan dan juga nuansa persawahan . menu nya seperti makanan sunda lainnya , tapi ada satu menu favorit saya , jamur bakar , enak banget .",restoran sapu lidi milik uni sendiri serasa makan sawah dikelilingin kolam ikan nuansa sawah menu nya sepe i makan sunda menu favorit jamur bakar enak banget,0,0,1
"semua enak . mi abu-abu , mi black , tahu cocol dan sayap ayam nya mantap . buat makan camilan bisa di sini .",enak mi abuabu mi black cocol sayap ayam nya mantap makan camil,0,0,1
"nkri bersyariah , fpi , revolusi akhlaq , suara keadilan , __laugh__ semua pada tersandung kasus , fpi , ulama nya tersandung obrolan mesum tidak berani pulang , nkri bersyariah , berarti tidak mengamalkan pancasila , sungguh miris ,",negara satu republik indonesia bersyariah front bela islam revolusi akhlaq suara adil laugh sandung front bela islam ulama nya sandung obrol mesum berani pulang negara satu republik indonesia bersyariah bera i amal pancasila sungguh miris,1,0,0
bikin macet saja nih orang,bikin macet nih orang,1,0,0
singapura selidiki penjualan prt indonesia di situs daring,singapura selidik jual p indonesia situs daring,0,1,0
"pergi merayakan ulang tahun di tempat ini sangat berkesan , saya dengan istri memilih tempat ini , menu makanan variatif , dari makanan barat sampai lokal ada , sedia baju hangat . dingin sangat di sini .",pergi raya ulang kesan istri pilih menu makan variatif makan barat lokal sedia baju hangat dingin,0,0,1
"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",pilih orang kecut sepe i prabowo pimpin negara,1,0,0
"jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban",iklan baik jaring lamban,1,0,0
"kalau orang tiongkok masuk indonesia baru bisa maju , kalau andalkan orang pribumi otak nya jongkok",orang tiongkok masuk indonesia maju andal orang pribumi otak nya jongkok,1,0,0
cepat respon . pengiriman kilat . dan ramah . setelah akhirnya saya berputar-putar di toko lain yang tidak jelas . saya bertemu toko juragan ini yang pelayanan nya sangat memuaskan . tangkap sangat juragan .,cepat respon kirim kilat ramah berputarputar toko be emu toko juragan layan nya muas tangkap juragan,0,0,1
"sok pencitraan sekali , basi sama gaya lu . lebih wibawa yang seragam coklat top deh buat pak anies .",sok citra basi gaya wibawa seragam coklat top deh anies,1,0,0
ke sini beberapa tahun yang lalu bersama teman-teman . suasana nya sangat menyenangkan dengan pemandangan yang bagus dan hawa dingin yang menyegarkan . akan lebih baik datang ke sini pada malam hari . steak nya enak .,temanteman suasana nya senang pandang bagus hawa dingin segar malam steak nya enak,0,0,1
"dari saya debut . empat bagus tetapi yang bikin suka sekali itu tonight dengan saranghajima . tidak mengerti apa aku saja atau yang lain merasakan ini , winner adalah abang selain bigbang yang kalau nyanyi jiwa nya ikutan nyanyi . bagus banget . dan makin cinta dengan mereka setelah tahu sifat dan sikap saya .",debut bagus bikin suka tonight saranghajima menge i rasa winner abang bigbang nyanyi jiwa nya ikut nyanyi bagus banget cinta sifat sikap,0,0,1
sangat melelahkan malam ini .,lelah malam,1,0,0
marah,marah,1,0,0
"tidak dong . aku pilih sby , eh pilih prabowo maksude . dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung . grinningfacewithsmilingeyes",pilih susilo bambang yudhoyono eh pilih prabowo maksude pilih jokowi sepe i ai banteng moncong tepung grinningfacewithsmilingeyes,1,0,0
"puas dengan servis nya , ramah ! harga nya sebanding dengan pelayanan dan rasanya . pemandangan nya yang keren banget , cocok buat acara ngumpul bareng teman dan keluarga ! pokok nya rekomendasi sekali ! tidak menyesal deh , pokok nya harus ke sini lagi ! saya dilayani oleh feriyana yang super ramah dan baik , pokok nya buat teman-teman the 18th ini recommened sekali !",puas servis nya ramah harga nya banding layan pandang nya keren banget cocok acara kumpul bareng teman keluarga pokok nya rekomendasi sesal deh pokok nya layan feriyana super ramah pokok nya temanteman the delapan belas recommened,0,0,1
"ini pertama kali saya makan abuba steak di luar jakarta . rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta . kurang enak . suasana restoran nya oke . toilet nya sudah agak tua , harus sedikit diperbaharui",pe kali makan abuba steak jaka a beda nikmat abuba steak jaka a enak suasana restoran nya oke toilet nya tua baharu,1,0,0
ini xl jaringan nya jelek banget ya,xl jaring nya jelek banget ya,1,0,0
saya puas dengan games mobile legend,puas games mobile legend,0,0,1
"saya bersama rekan kerja sengaja mencoba makan siang di sambal khas karmila cab . buah batu bandung , untuk tempat terbilang cozzy dan cukup nyaman jika di lantai atas , sedangkan lantai dasar saya rasa tidak lebih dari tempat makan makanan cepat saji yang cukup penuh dengan hiruk pikuk pelanggan . rasa ayam bakar di sini sangat saya rekomendasikan bersama sambal mangga . terkait harga terbilang relative .",rekan kerja sengaja coba makan siang sambal khas karmila cab buah batu bandung bilang cozzy nyaman lantai lantai dasar makan makan cepat saji penuh hiruk pikuk langgan ayam bakar rekomendasi sambal mangga kait harga bilang relative,0,0,1
"kuah bakso nya terlalu asin menurut saya . masih enakan yang dijual keliling di malang . tapi tempat nya bagus buat menjamu teman . ada di banyak lokasi dan selalu ramai . selain bakso juga menyediakan capcay , nasi goreng dan lain-lain yang menurut saya justru lebih enak .",kuah bakso nya asin enak jual keliling malang nya bagus jamu teman lokasi ramai bakso sedia capcay nasi goreng lainlain enak,0,0,1
saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh,warga jaka a malu kang oknum be anggung sweeping bobotoh,1,0,0
"tenderloin steak nya juara , tempat mudah diakses memaki pun tersembunyi , nyaman , tema zaman dahulu , tidak ramai , pelayanan biasa ,",tenderloin steak nya juara mudah akses maki sembunyi nyaman tema zaman ramai layan,0,0,1
"ini adalah salah satu restoran chinese yang sudah ada sejak lama . masakan dari kepiting nya favorit juara . biasa saya pesan kepiting rebus , babat toge dan cah kangkung",salah restoran cina masakan kepiting nya favorit juara pesan kepiting rebus babat toge cah kangkung,0,0,1
"para cebong yang selama ini menuduh saya mencuri uang sedekah 30 %, silakan anda urus si aris wahyudi ini . dia ambil komisi 20 % untuk transaksi pelacuran berkedok agama . berani tidak , membulat si aris wahyudi ini ? atau kamu semua cuma berani sama jonru ?",cebong tuduh curi uang sedekah puluh sila urus sih aris wahyudi ambil komisi puluh transaksi lacur kedok agama berani bulat sih aris wahyudi berani jonru,1,0,0
menarik pilkada jawa barat ini . ada ridwan kamil berpasangan dengan tokoh dari dc universe .,tarik pilih kepala daerah jawa barat ridwan kamil pasang tokoh dc universe,0,0,1
suasana di kantor dpc kab. bogor menjelang pidato awal tahun 2018 oleh,suasana kantor dewan pimpin cabang kabupaten bogor jelang pidato ribu delapan belas,0,1,0
"kalau djarum memang agak tidak kuat , dia baru kerasa tidak bagus nya pas akhir bakaran",djarum kuat rasa bagus nya pas bakar,1,0,0
bakmi tasik saya dan beberapa teman mampir dan coba bakmi bakso nya . makanan nya biasa-biasa saja . tidak ada yang special .,bakmi tasik teman mampir coba bakmi bakso nya makan nya biasabiasa spesial,1,0,0
"lokasi pandan wangi sebenarnya agak jauh dari pusat kota bandung . tapi masih terjangkau , sekitar 15 menit dari jalan asia afrika . patokan jalan nya ada di jalan talaga bodas . dari sana tinggal mencari papan petunjuk pandan wangi . saat kami datang jam 1 siang sudah menanti begitu banyak orang . kebanyakan yang datang keluarga dan anak-anak . sambil menunggu disajikan gorengan dari ubi / singkong yang lumayan enak .",lokasi pandan wangi pusat kota bandung jangkau belas menit jalan asia afrika patok jalan nya jalan talaga bodas tinggal cari papan tunjuk pandan wangi jam siang orang banyak keluarga anakanak tunggu saji goreng ubi singkong lumayan enak,0,0,1
"pertama kalinya datang ke eatalia , saya datang bersama dengan teman dan 1 orang anak . tidak memsungkan ketika memlilih makanan untuk anak karena di sini menyediakan menu dengan porsi anak . kami memesan cheese bacon deluxe , pizza dengan roti berwarna hitam . untuk keseluruhan menu yang saya pesan tidak mengecewakan .",pe kali eatalia teman orang anak memsungkan memlilih makan anak sedia menu porsi anak mes cheese bacon deluxe pizza roti warna hitam menu pesan kecewa,0,0,1
"rasanya lumayan . sambel nya juga enak . apalagi disajikan 3 macam model begitu . terus banyak pilihan sih sebenarnya mau makan apa di sini . mau gurame , mau kakap , bawal , kerang , cumi , udang . macem-macem deh . asal jangan pesan ikan kembung saja . tidak ada di sini .",lumayan sambal nya enak saji model pilih sih makan gurame kakap bawal kerang cumi udang macemmacem deh pesan ikan kembung,0,0,1
"berlokasi di salah satu tempat belanja dan rekreasi di cihampelas wali bandung , resto ini tidak mengecewakan . sajian nya cukup beragam . untuk rasanya , resto ini bisa menyajikan nya dengan cukup enak dan nikmat , sangat cocok untuk bersantap dengan pasangan atau keluarga .",lokasi salah belanja rekreasi cihampelas wali bandung resto kecewa saji nya agam resto saji nya enak nikmat cocok santap pasang keluarga,0,0,1
dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali : jualan dihutan aku rasa,zaman mbak mbak online shop aplikasi gojek gocar gosend ya allah bodoh jual hutan,1,0,0
"restoran ini juga terletak di tempat stategis yaitu jalan dago . tepat nya di sebelah hotel holiday inn . sesuai judul nya , restoran ini menyediakan berbagai menu masakan aceh . favorit saya adalah mi aceh . harga standar tapi tidak terlalu mahal . jangan lupa coba roti canai nya",restoran letak stategis jalan dago nya belah hotel holiday inn sesuai judul nya restoran sedia menu masakan aceh favorit mi aceh harga standar mahal lupa coba roti canai nya,0,0,1
bihun goreng nya enak . bisa minta tidak banyak minyak . makanan di sini mengandung babi jadi tidak halal . es teh tawar porsi nya besar dan memuaskan .,bihun goreng nya enak minyak makan kandung babi halal es teh tawar porsi nya muas,0,0,1
lokasi tes tidak jelas . ditelepon tidak diangkat . di email cuma auto reply . tidak rekomendasi . aku baru sadar something adalah wong pas mampir ke kantor nya dan mereka cerita bahwa pernah held tes di hotel dan ruang sebelah ada kondangan . they told that without remorse,lokasi tes telepon angkat email auto reply rekomendasi sadar something orang pas mampir kantor nya cerita held tes hotel ruang belah kondangan they told that remorse,1,0,0
"sate kambing dan gulai kambing nya maknyus , penyajian makannan nya juga sangat cepat . tempat nya cukup bersih",sate kambing gulai kambing nya maknyus saji makannan nya cepat nya bersih,0,0,1
"yue ke hotel yang di mongkok hongkong , tidak ada ! bulan juni lalu , saya booked dan sudah bayar untuk 2 kamar . tapi hotel tidak ditemukan",yue hotel mongkok hongkong juni booked bayar kamar hotel temu,1,0,0
"poach salmon nya enak , pelayanan nya enak , scenery nya mantap . tank to amanda dan worth it banget deh . pasti kembali lagi",poach salmon nya enak layan nya enak scenery nya mantap tank to amanda oi h it banget deh,0,0,1
orang cina makanan legendaris sudah lama banget nih orang cina makanan satu ini semuanya enak yang tidak enak cuma parkir nya saja aujubila susah nya parkir harus di seberang karena depan resto trotoar . jadi harus sabar sekali-sekali . sedih deh .,orang cina makan legendaris banget nih orang cina makan enak enak parkir nya aujubila susah nya parkir seberang resto trotoar sabar sekalisekali sedih deh,1,0,0
makan di restoran pizza ini paling enak jika bersama teman . menikmati paket sensasi delight yang harga nya sangat terjangkau oleh semua kalangan .,makan restoran pizza enak teman nikmat paket sensasi delight harga nya jangkau kalang,0,0,1
"hasil quick count pilgub kaltim 2018 , isran - hadi unggul",hasil quick count pilih gubernur kalimantan timur ribu delapan belas isran had unggul,0,1,0
kenapa kamu jerat buni yani undang-undang ite ? padahal jelas-jelas itu video berasal dari youtube yang diunggah oleh pemprov itu sendiri . harus nya yang kena undang-undang ite itu pemprov bukan buni yani . ya kan ?,jerat buni yani undangundang informasi transaksi elektronik jelasjelas video asal youtube unggah perintah provinsi nya kena undangundang informasi transaksi elektronik perintah provinsi buni yani ya,1,0,0
"paket gim benar-benar mantap ! yang megah harus makan di sini , dijamin makin keren ! bravo !",paket gim benarbenar mantap megah makan jamin keren bravo,0,0,1
